A;MktCoupons;OriginAirportID;DestAirportID;DestAirportID;ID_C;MktFare
56;1;Banglore;New Delhi;New Delhi;2;17345
57;1;Chennai;Kolkata;Kolkata;11;7414
58;1;Delhi;Cochin;Cochin;7;8073
59;1;Mumbai;Hyderabad;Hyderabad;11;12395
60;1;Kolkata;Banglore;Banglore;2;8366
61;1;Delhi;Cochin;Cochin;2;5117
62;1;Delhi;Cochin;Cochin;7;12524
63;1;Delhi;Cochin;Cochin;4;7191
64;1;Chennai;Kolkata;Kolkata;11;3687
65;1;Delhi;Cochin;Cochin;4;5894
66;1;Banglore;Delhi;Delhi;11;5403
67;1;Mumbai;Hyderabad;Hyderabad;2;3625
68;1;Delhi;Cochin;Cochin;2;10861
69;1;Chennai;Kolkata;Kolkata;4;6297
70;1;Mumbai;Hyderabad;Hyderabad;5;5678
71;1;Banglore;New Delhi;New Delhi;5;9134
72;1;Delhi;Cochin;Cochin;7;10791
73;1;Delhi;Cochin;Cochin;5;12819
74;1;Delhi;Cochin;Cochin;4;6893
75;1;Banglore;New Delhi;New Delhi;11;7240
76;1;Banglore;Delhi;Delhi;3;3898
77;1;Mumbai;Hyderabad;Hyderabad;4;4049
78;1;Delhi;Cochin;Cochin;5;10262
79;1;Chennai;Kolkata;Kolkata;9;3332
80;1;Kolkata;Banglore;Banglore;5;10844
81;1;Banglore;New Delhi;New Delhi;5;7229
82;1;Kolkata;Banglore;Banglore;5;13941
83;1;Delhi;Cochin;Cochin;4;5894
84;1;Delhi;Cochin;Cochin;7;10197
85;1;Banglore;New Delhi;New Delhi;5;13712
86;1;Delhi;Cochin;Cochin;4;5636
87;1;Delhi;Cochin;Cochin;5;13014
88;1;Kolkata;Banglore;Banglore;5;7064
89;1;Kolkata;Banglore;Banglore;5;10703
90;1;Delhi;Cochin;Cochin;7;9646
91;1;Delhi;Cochin;Cochin;7;17057
92;1;Banglore;New Delhi;New Delhi;5;13817
93;1;Delhi;Cochin;Cochin;2;13748
94;1;Kolkata;Banglore;Banglore;2;4880
95;1;Chennai;Kolkata;Kolkata;4;3540
96;1;Banglore;Delhi;Delhi;9;3257
97;1;Banglore;Delhi;Delhi;5;6478
98;1;Mumbai;Hyderabad;Hyderabad;5;8040
99;1;Delhi;Cochin;Cochin;5;14300
100;1;Kolkata;Banglore;Banglore;5;14781
101;1;Kolkata;Banglore;Banglore;5;14939
102;1;Delhi;Cochin;Cochin;5;10262
103;1;Kolkata;Banglore;Banglore;2;6528
104;1;Banglore;Delhi;Delhi;2;6121
105;1;Delhi;Cochin;Cochin;5;13029
106;1;Delhi;Cochin;Cochin;7;11421
107;1;Delhi;Cochin;Cochin;7;7574
108;1;Delhi;Cochin;Cochin;2;11596
109;1;Delhi;Cochin;Cochin;5;15129
110;1;Banglore;New Delhi;New Delhi;5;13555
111;1;Banglore;Delhi;Delhi;4;5780
112;1;Kolkata;Banglore;Banglore;11;9397
113;1;Delhi;Cochin;Cochin;5;17024
114;1;Delhi;Cochin;Cochin;3;5281
115;1;Delhi;Cochin;Cochin;7;10348
116;1;Delhi;Cochin;Cochin;2;12677
117;1;Delhi;Cochin;Cochin;7;15147
118;1;Banglore;Delhi;Delhi;11;4668
119;1;Delhi;Cochin;Cochin;5;15554
120;1;Banglore;Delhi;Delhi;9;3971
121;1;Mumbai;Hyderabad;Hyderabad;2;3100
122;1;Kolkata;Banglore;Banglore;5;9663
123;1;Delhi;Cochin;Cochin;2;27430
124;1;Chennai;Kolkata;Kolkata;4;3540
125;1;Kolkata;Banglore;Banglore;2;10676
126;1;Kolkata;Banglore;Banglore;5;13044
127;1;Kolkata;Banglore;Banglore;5;14388
128;1;Banglore;Delhi;Delhi;4;3943
129;1;Chennai;Kolkata;Kolkata;4;3597
130;1;Banglore;New Delhi;New Delhi;2;5932
131;1;Delhi;Cochin;Cochin;5;10262
132;1;Delhi;Cochin;Cochin;11;6216
133;1;Kolkata;Banglore;Banglore;4;4804
134;1;Delhi;Cochin;Cochin;7;14067
135;1;Delhi;Cochin;Cochin;5;15129
136;1;Delhi;Cochin;Cochin;5;13376
137;1;Delhi;Cochin;Cochin;2;10441
138;1;Banglore;Delhi;Delhi;5;4030
139;1;Delhi;Cochin;Cochin;5;17024
140;1;Delhi;Cochin;Cochin;7;13017
141;1;Kolkata;Banglore;Banglore;3;6686
142;1;Delhi;Cochin;Cochin;4;5636
143;1;Delhi;Cochin;Cochin;4;6442
144;1;Delhi;Cochin;Cochin;7;9486
145;1;Kolkata;Banglore;Banglore;5;10844
146;1;Delhi;Cochin;Cochin;5;15318
147;1;Delhi;Cochin;Cochin;2;5117
148;1;Delhi;Cochin;Cochin;4;6147
149;1;Delhi;Cochin;Cochin;7;7005
150;1;Kolkata;Banglore;Banglore;9;3873
151;1;Delhi;Cochin;Cochin;5;9270
152;1;Banglore;Delhi;Delhi;3;3898
153;1;Kolkata;Banglore;Banglore;5;14781
154;1;Kolkata;Banglore;Banglore;5;8586
155;1;Kolkata;Banglore;Banglore;2;10697
156;1;Delhi;Cochin;Cochin;5;14300
157;1;Banglore;New Delhi;New Delhi;4;8855
158;1;Kolkata;Banglore;Banglore;5;10844
159;1;Delhi;Cochin;Cochin;5;17024
160;1;Kolkata;Banglore;Banglore;5;9314
161;1;Banglore;New Delhi;New Delhi;4;4777
162;1;Kolkata;Banglore;Banglore;2;7662
163;1;Delhi;Cochin;Cochin;4;6442
164;1;Delhi;Cochin;Cochin;9;5264
165;1;Delhi;Cochin;Cochin;5;12898
166;1;Mumbai;Hyderabad;Hyderabad;2;6092
167;1;Banglore;Delhi;Delhi;9;3311
168;1;Delhi;Cochin;Cochin;5;6540
169;1;Banglore;Delhi;Delhi;4;3419
170;1;Delhi;Cochin;Cochin;5;5177
171;1;Delhi;Cochin;Cochin;2;8246
172;1;Kolkata;Banglore;Banglore;5;14676
173;1;Delhi;Cochin;Cochin;7;13587
174;1;Kolkata;Banglore;Banglore;5;9663
175;1;Kolkata;Banglore;Banglore;5;13044
176;1;Delhi;Cochin;Cochin;4;5073
177;1;Kolkata;Banglore;Banglore;11;9345
178;1;Kolkata;Banglore;Banglore;5;9663
179;1;Delhi;Cochin;Cochin;7;14277
180;1;Delhi;Cochin;Cochin;5;10262
181;1;Mumbai;Hyderabad;Hyderabad;5;5678
182;1;Delhi;Cochin;Cochin;7;13727
183;1;Kolkata;Banglore;Banglore;5;9663
184;1;Chennai;Kolkata;Kolkata;4;3858
185;1;Delhi;Cochin;Cochin;9;4812
186;1;Delhi;Cochin;Cochin;4;5775
187;1;Kolkata;Banglore;Banglore;5;10539
188;1;Kolkata;Banglore;Banglore;4;4804
189;1;Banglore;Delhi;Delhi;1;3383
190;1;Banglore;New Delhi;New Delhi;4;8738
191;1;Delhi;Cochin;Cochin;2;7165
192;1;Delhi;Cochin;Cochin;4;6412
193;1;Banglore;Delhi;Delhi;5;8016
194;1;Banglore;New Delhi;New Delhi;5;11087
195;1;Chennai;Kolkata;Kolkata;9;3543
196;1;Kolkata;Banglore;Banglore;5;12471
197;1;Delhi;Cochin;Cochin;5;10262
198;1;Banglore;New Delhi;New Delhi;2;4441
199;1;Delhi;Cochin;Cochin;7;12537
200;1;Kolkata;Banglore;Banglore;3;10091
201;1;Banglore;Delhi;Delhi;2;6961
202;1;Delhi;Cochin;Cochin;4;5013
203;1;Delhi;Cochin;Cochin;2;6934
204;1;Delhi;Cochin;Cochin;7;10877
205;1;Banglore;Delhi;Delhi;5;7229
206;1;Delhi;Cochin;Cochin;4;7048
207;1;Banglore;Delhi;Delhi;11;4878
208;1;Kolkata;Banglore;Banglore;5;10844
209;1;Delhi;Cochin;Cochin;5;15129
210;1;Banglore;Delhi;Delhi;4;3943
211;1;Delhi;Cochin;Cochin;9;5583
212;1;Delhi;Cochin;Cochin;7;9646
213;1;Delhi;Cochin;Cochin;7;7677
214;1;Delhi;Cochin;Cochin;4;6842
215;1;Mumbai;Hyderabad;Hyderabad;5;4995
216;1;Kolkata;Banglore;Banglore;11;9555
217;1;Banglore;Delhi;Delhi;4;4077
218;1;Banglore;Delhi;Delhi;5;7229
219;1;Delhi;Cochin;Cochin;7;12192
220;1;Banglore;Delhi;Delhi;2;5911
221;1;Delhi;Cochin;Cochin;2;8372
222;1;Mumbai;Hyderabad;Hyderabad;5;4995
223;1;Delhi;Cochin;Cochin;7;14323
224;1;Delhi;Cochin;Cochin;5;13014
225;1;Delhi;Cochin;Cochin;2;13591
226;1;Delhi;Cochin;Cochin;5;18799
227;1;Banglore;Delhi;Delhi;4;3943
228;1;Mumbai;Hyderabad;Hyderabad;9;1965
229;1;Mumbai;Hyderabad;Hyderabad;5;4995
230;1;Kolkata;Banglore;Banglore;2;14641
231;1;Kolkata;Banglore;Banglore;2;4460
232;1;Delhi;Cochin;Cochin;2;10191
233;1;Delhi;Cochin;Cochin;5;13843
234;1;Delhi;Cochin;Cochin;4;6349
235;1;Kolkata;Banglore;Banglore;1;4409
236;1;Delhi;Cochin;Cochin;5;17024
237;1;Delhi;Cochin;Cochin;7;13727
238;1;Banglore;New Delhi;New Delhi;4;8855
239;1;Delhi;Cochin;Cochin;7;12524
240;1;Banglore;New Delhi;New Delhi;5;13555
241;1;Kolkata;Banglore;Banglore;5;10844
242;1;Delhi;Cochin;Cochin;7;13587
243;1;Chennai;Kolkata;Kolkata;9;3543
244;1;Chennai;Kolkata;Kolkata;11;4842
245;1;Banglore;Delhi;Delhi;4;3943
246;1;Delhi;Cochin;Cochin;5;10577
247;1;Delhi;Cochin;Cochin;4;6979
248;1;Chennai;Kolkata;Kolkata;11;11982
249;1;Delhi;Cochin;Cochin;9;5264
250;1;Delhi;Cochin;Cochin;11;8001
251;1;Delhi;Cochin;Cochin;2;10651
252;1;Kolkata;Banglore;Banglore;5;10844
253;1;Delhi;Cochin;Cochin;7;6601
254;1;Delhi;Cochin;Cochin;2;6587
255;1;Mumbai;Hyderabad;Hyderabad;9;3173
256;1;Banglore;Delhi;Delhi;2;5228
257;1;Banglore;Delhi;Delhi;5;5769
258;1;Delhi;Cochin;Cochin;5;14714
259;1;Delhi;Cochin;Cochin;5;13014
260;1;Banglore;Delhi;Delhi;4;3359
261;1;Banglore;New Delhi;New Delhi;3;6722
262;1;Kolkata;Banglore;Banglore;4;4462
263;1;Delhi;Cochin;Cochin;4;6171
264;1;Kolkata;Banglore;Banglore;2;12303
265;1;Delhi;Cochin;Cochin;7;7695
266;1;Delhi;Cochin;Cochin;4;5684
267;1;Kolkata;Banglore;Banglore;2;8366
268;1;Chennai;Kolkata;Kolkata;2;19630
269;1;Banglore;New Delhi;New Delhi;5;13502
270;1;Kolkata;Banglore;Banglore;5;14781
271;1;Delhi;Cochin;Cochin;7;6513
272;1;Delhi;Cochin;Cochin;2;9929
273;1;Delhi;Cochin;Cochin;7;18275
274;1;Delhi;Cochin;Cochin;2;4487
275;1;Mumbai;Hyderabad;Hyderabad;4;2754
276;1;Mumbai;Hyderabad;Hyderabad;2;2575
277;1;Kolkata;Banglore;Banglore;9;8224
278;1;Delhi;Cochin;Cochin;2;8991
279;1;Delhi;Cochin;Cochin;4;5000
280;1;Kolkata;Banglore;Banglore;5;8529
281;1;Delhi;Cochin;Cochin;2;14042
282;1;Banglore;Delhi;Delhi;5;4030
283;1;Kolkata;Banglore;Banglore;5;10844
284;1;Kolkata;Banglore;Banglore;4;4804
285;1;Delhi;Cochin;Cochin;7;7308
286;1;Banglore;Delhi;Delhi;4;4823
287;1;Delhi;Cochin;Cochin;5;10262
288;1;Delhi;Cochin;Cochin;5;12898
289;1;Banglore;New Delhi;New Delhi;2;12778
290;1;Delhi;Cochin;Cochin;4;14871
291;1;Delhi;Cochin;Cochin;2;8708
292;1;Kolkata;Banglore;Banglore;5;10844
293;1;Mumbai;Hyderabad;Hyderabad;9;4129
294;1;Kolkata;Banglore;Banglore;4;4804
295;1;Banglore;Delhi;Delhi;5;7229
296;1;Banglore;New Delhi;New Delhi;5;7832
297;1;Chennai;Kolkata;Kolkata;9;3859
298;1;Delhi;Cochin;Cochin;7;9001
299;1;Banglore;Delhi;Delhi;11;4878
300;1;Mumbai;Hyderabad;Hyderabad;4;2754
301;1;Banglore;Delhi;Delhi;11;4668
302;1;Kolkata;Banglore;Banglore;1;5216
303;1;Delhi;Cochin;Cochin;5;10368
304;1;Delhi;Cochin;Cochin;4;8146
305;1;Delhi;Cochin;Cochin;5;12242
306;1;Banglore;New Delhi;New Delhi;5;9134
307;1;Delhi;Cochin;Cochin;2;10939
308;1;Delhi;Cochin;Cochin;2;11753
309;1;Kolkata;Banglore;Banglore;9;4174
310;1;Kolkata;Banglore;Banglore;5;10844
311;1;Delhi;Cochin;Cochin;5;14714
312;1;Kolkata;Banglore;Banglore;5;9899
313;1;Delhi;Cochin;Cochin;4;14871
314;1;Chennai;Kolkata;Kolkata;4;7295
315;1;Delhi;Cochin;Cochin;2;13465
316;1;Chennai;Kolkata;Kolkata;9;3543
317;1;Delhi;Cochin;Cochin;7;7198
318;1;Delhi;Cochin;Cochin;5;10262
319;1;Kolkata;Banglore;Banglore;4;4148
320;1;Banglore;Delhi;Delhi;5;8016
321;1;Delhi;Cochin;Cochin;5;10262
322;1;Kolkata;Banglore;Banglore;9;3841
323;1;Banglore;New Delhi;New Delhi;5;11507
324;1;Kolkata;Banglore;Banglore;5;14781
325;1;Delhi;Cochin;Cochin;5;16079
326;1;Delhi;Cochin;Cochin;5;12898
327;1;Delhi;Cochin;Cochin;7;15353
328;1;Banglore;New Delhi;New Delhi;4;7303
329;1;Kolkata;Banglore;Banglore;9;6197
330;1;Kolkata;Banglore;Banglore;2;8996
331;1;Delhi;Cochin;Cochin;4;6528
332;1;Banglore;Delhi;Delhi;3;4239
333;1;Kolkata;Banglore;Banglore;4;4148
334;1;Banglore;Delhi;Delhi;9;3971
335;1;Kolkata;Banglore;Banglore;1;5192
336;1;Delhi;Cochin;Cochin;5;9483
337;1;Delhi;Cochin;Cochin;5;18804
338;1;Delhi;Cochin;Cochin;2;5201
339;1;Delhi;Cochin;Cochin;5;16079
340;1;Banglore;Delhi;Delhi;5;7229
341;1;Delhi;Cochin;Cochin;7;6795
342;1;Kolkata;Banglore;Banglore;5;10953
343;1;Delhi;Cochin;Cochin;7;15965
344;1;Delhi;Cochin;Cochin;2;9968
345;1;Kolkata;Banglore;Banglore;4;4804
346;1;Delhi;Cochin;Cochin;5;16079
347;1;Delhi;Cochin;Cochin;5;11507
348;1;Kolkata;Banglore;Banglore;2;11542
349;1;Banglore;Delhi;Delhi;5;7229
350;1;Banglore;Delhi;Delhi;5;4544
351;1;Delhi;Cochin;Cochin;4;6496
352;1;Kolkata;Banglore;Banglore;4;4804
353;1;Banglore;New Delhi;New Delhi;2;13439
354;1;Delhi;Cochin;Cochin;5;6540
355;1;Banglore;Delhi;Delhi;4;4591
356;1;Banglore;New Delhi;New Delhi;4;4437
357;1;Delhi;Cochin;Cochin;1;6151
358;1;Banglore;Delhi;Delhi;5;7754
359;1;Delhi;Cochin;Cochin;5;10262
360;1;Banglore;Delhi;Delhi;5;8016
361;1;Kolkata;Banglore;Banglore;9;4781
362;1;Banglore;Delhi;Delhi;11;4668
363;1;Banglore;New Delhi;New Delhi;2;14594
364;1;Kolkata;Banglore;Banglore;5;14231
365;1;Delhi;Cochin;Cochin;2;8425
366;1;Delhi;Cochin;Cochin;7;9646
367;1;Chennai;Kolkata;Kolkata;4;7295
368;1;Kolkata;Banglore;Banglore;1;5162
369;1;Banglore;New Delhi;New Delhi;4;6860
370;1;Delhi;Cochin;Cochin;11;6216
371;1;Kolkata;Banglore;Banglore;1;5192
372;1;Banglore;Delhi;Delhi;4;4823
373;1;Banglore;Delhi;Delhi;9;3919
374;1;Mumbai;Hyderabad;Hyderabad;4;2754
375;1;Delhi;Cochin;Cochin;7;9315
376;1;Delhi;Cochin;Cochin;7;11667
377;1;Kolkata;Banglore;Banglore;5;6224
378;1;Kolkata;Banglore;Banglore;2;13349
379;1;Banglore;New Delhi;New Delhi;5;11087
380;1;Delhi;Cochin;Cochin;7;15603
381;1;Delhi;Cochin;Cochin;5;15129
382;1;Banglore;Delhi;Delhi;4;4823
383;1;Kolkata;Banglore;Banglore;11;8452
384;1;Delhi;Cochin;Cochin;7;12524
385;1;Chennai;Kolkata;Kolkata;9;3384
386;1;Delhi;Cochin;Cochin;5;10262
387;1;Mumbai;Hyderabad;Hyderabad;9;1965
388;1;Kolkata;Banglore;Banglore;4;4804
389;1;Delhi;Cochin;Cochin;5;16079
390;1;Delhi;Cochin;Cochin;5;13292
391;1;Delhi;Cochin;Cochin;1;6751
392;1;Delhi;Cochin;Cochin;2;8669
393;1;Delhi;Cochin;Cochin;4;14871
394;1;Delhi;Cochin;Cochin;5;12898
395;1;Banglore;Delhi;Delhi;9;3919
396;1;Delhi;Cochin;Cochin;7;36983
397;1;Chennai;Kolkata;Kolkata;4;3597
398;1;Banglore;New Delhi;New Delhi;2;10741
399;1;Kolkata;Banglore;Banglore;2;11432
400;1;Banglore;New Delhi;New Delhi;5;11087
401;1;Delhi;Cochin;Cochin;5;13292
402;1;Delhi;Cochin;Cochin;2;10493
403;1;Banglore;New Delhi;New Delhi;3;7631
404;1;Delhi;Cochin;Cochin;2;13381
405;1;Kolkata;Banglore;Banglore;5;13731
406;1;Delhi;Cochin;Cochin;2;11911
407;1;Banglore;Delhi;Delhi;4;4591
408;1;Delhi;Cochin;Cochin;7;14848
409;1;Delhi;Cochin;Cochin;7;8266
410;1;Delhi;Cochin;Cochin;2;12392
411;1;Kolkata;Banglore;Banglore;5;13044
412;1;Delhi;Cochin;Cochin;5;12898
413;1;Delhi;Cochin;Cochin;5;12242
414;1;Banglore;Delhi;Delhi;4;3943
415;1;Kolkata;Banglore;Banglore;11;11105
416;1;Kolkata;Banglore;Banglore;5;14388
417;1;Delhi;Cochin;Cochin;5;13014
418;1;Delhi;Cochin;Cochin;7;15411
419;1;Delhi;Cochin;Cochin;5;16289
420;1;Delhi;Cochin;Cochin;4;6442
421;1;Kolkata;Banglore;Banglore;5;10844
422;1;Mumbai;Hyderabad;Hyderabad;5;5678
423;1;Banglore;Delhi;Delhi;4;6906
424;1;Chennai;Kolkata;Kolkata;9;3543
425;1;Delhi;Cochin;Cochin;5;14714
426;1;Banglore;New Delhi;New Delhi;12;11793
427;1;Delhi;Cochin;Cochin;7;14323
428;1;Banglore;Delhi;Delhi;9;3971
429;1;Kolkata;Banglore;Banglore;11;8452
430;1;Banglore;Delhi;Delhi;11;5403
431;1;Delhi;Cochin;Cochin;7;13727
432;1;Kolkata;Banglore;Banglore;2;12639
433;1;Banglore;Delhi;Delhi;5;5198
434;1;Banglore;Delhi;Delhi;11;4878
435;1;Delhi;Cochin;Cochin;5;12373
436;1;Delhi;Cochin;Cochin;7;8552
437;1;Delhi;Cochin;Cochin;11;6741
438;1;Delhi;Cochin;Cochin;7;6481
439;1;Delhi;Cochin;Cochin;7;7354
440;1;Banglore;Delhi;Delhi;2;5228
441;1;Kolkata;Banglore;Banglore;5;10844
442;1;Delhi;Cochin;Cochin;4;6347
443;1;Banglore;New Delhi;New Delhi;2;5013
444;1;Kolkata;Banglore;Banglore;5;9663
445;1;Banglore;Delhi;Delhi;4;4823
446;1;Delhi;Cochin;Cochin;2;13381
447;1;Chennai;Kolkata;Kolkata;9;3543
448;1;Kolkata;Banglore;Banglore;5;9663
449;1;Kolkata;Banglore;Banglore;5;7064
450;1;Delhi;Cochin;Cochin;5;10262
451;1;Delhi;Cochin;Cochin;2;13013
452;1;Delhi;Cochin;Cochin;5;15339
453;1;Banglore;Delhi;Delhi;3;4937
454;1;Delhi;Cochin;Cochin;4;6818
455;1;Delhi;Cochin;Cochin;2;10441
456;1;Delhi;Cochin;Cochin;5;5177
457;1;Chennai;Kolkata;Kolkata;4;3858
458;1;Kolkata;Banglore;Banglore;4;6534
459;1;Delhi;Cochin;Cochin;7;6795
460;1;Delhi;Cochin;Cochin;7;9736
461;1;Banglore;Delhi;Delhi;5;7229
462;1;Delhi;Cochin;Cochin;9;4957
463;1;Banglore;New Delhi;New Delhi;4;7648
464;1;Kolkata;Banglore;Banglore;9;3873
465;1;Kolkata;Banglore;Banglore;5;14388
466;1;Kolkata;Banglore;Banglore;4;5618
467;1;Delhi;Cochin;Cochin;7;7408
468;1;Delhi;Cochin;Cochin;1;13774
469;1;Banglore;Delhi;Delhi;11;4668
470;1;Delhi;Cochin;Cochin;5;13082
471;1;Delhi;Cochin;Cochin;2;8669
472;1;Delhi;Cochin;Cochin;4;6316
473;1;Delhi;Cochin;Cochin;5;12583
474;1;Banglore;New Delhi;New Delhi;11;7923
475;1;Delhi;Cochin;Cochin;3;7378
476;1;Banglore;Delhi;Delhi;11;4878
477;1;Kolkata;Banglore;Banglore;5;10844
478;1;Banglore;Delhi;Delhi;5;7229
479;1;Delhi;Cochin;Cochin;9;6297
480;1;Kolkata;Banglore;Banglore;5;8529
481;1;Delhi;Cochin;Cochin;7;13727
482;1;Kolkata;Banglore;Banglore;9;6643
483;1;Delhi;Cochin;Cochin;7;10197
484;1;Kolkata;Banglore;Banglore;9;4911
485;1;Chennai;Kolkata;Kolkata;4;6482
486;1;Banglore;New Delhi;New Delhi;5;26890
487;1;Kolkata;Banglore;Banglore;4;3717
488;1;Chennai;Kolkata;Kolkata;4;3597
489;1;Banglore;New Delhi;New Delhi;2;10846
490;1;Banglore;New Delhi;New Delhi;2;14069
491;1;Delhi;Cochin;Cochin;5;5177
492;1;Delhi;Cochin;Cochin;2;14641
493;1;Delhi;Cochin;Cochin;4;6442
494;1;Delhi;Cochin;Cochin;2;5704
495;1;Kolkata;Banglore;Banglore;5;9663
496;1;Delhi;Cochin;Cochin;5;14714
497;1;Delhi;Cochin;Cochin;5;5406
498;1;Kolkata;Banglore;Banglore;11;8610
499;1;Delhi;Cochin;Cochin;5;14237
500;1;Banglore;Delhi;Delhi;4;4823
501;1;Mumbai;Hyderabad;Hyderabad;4;2227
502;1;Delhi;Cochin;Cochin;5;12373
503;1;Delhi;Cochin;Cochin;2;8372
504;1;Delhi;Cochin;Cochin;5;17024
505;1;Mumbai;Hyderabad;Hyderabad;2;3100
506;1;Delhi;Cochin;Cochin;5;14053
507;1;Chennai;Kolkata;Kolkata;4;3540
508;1;Kolkata;Banglore;Banglore;11;9345
509;1;Delhi;Cochin;Cochin;5;10368
510;1;Banglore;New Delhi;New Delhi;5;26890
511;1;Mumbai;Hyderabad;Hyderabad;9;5755
512;1;Banglore;New Delhi;New Delhi;5;7832
513;1;Kolkata;Banglore;Banglore;5;14388
514;1;Delhi;Cochin;Cochin;2;8839
515;1;Delhi;Cochin;Cochin;2;22096
516;1;Chennai;Kolkata;Kolkata;11;3687
517;1;Delhi;Cochin;Cochin;7;9627
518;1;Delhi;Cochin;Cochin;7;13542
519;1;Banglore;Delhi;Delhi;4;4423
520;1;Delhi;Cochin;Cochin;4;8899
521;1;Delhi;Cochin;Cochin;9;5583
522;1;Delhi;Cochin;Cochin;1;6752
523;1;Chennai;Kolkata;Kolkata;9;3543
524;1;Banglore;New Delhi;New Delhi;5;7832
525;1;Kolkata;Banglore;Banglore;2;10991
526;1;Delhi;Cochin;Cochin;5;12898
527;1;Delhi;Cochin;Cochin;5;12898
528;1;Banglore;Delhi;Delhi;3;3398
529;1;Delhi;Cochin;Cochin;2;5201
530;1;Kolkata;Banglore;Banglore;2;13873
531;1;Delhi;Cochin;Cochin;2;7384
532;1;Delhi;Cochin;Cochin;5;10262
533;1;Kolkata;Banglore;Banglore;5;10031
534;1;Kolkata;Banglore;Banglore;5;12384
535;1;Kolkata;Banglore;Banglore;5;7757
536;1;Banglore;New Delhi;New Delhi;5;17261
537;1;Chennai;Kolkata;Kolkata;9;7298
538;1;Banglore;Delhi;Delhi;5;7229
539;1;Kolkata;Banglore;Banglore;4;4174
540;1;Kolkata;Banglore;Banglore;4;5699
541;1;Kolkata;Banglore;Banglore;2;4880
542;1;Delhi;Cochin;Cochin;2;15284
543;1;Kolkata;Banglore;Banglore;5;13759
544;1;Kolkata;Banglore;Banglore;11;16092
545;1;Mumbai;Hyderabad;Hyderabad;4;4392
546;1;Delhi;Cochin;Cochin;5;10262
547;1;Kolkata;Banglore;Banglore;9;3841
548;1;Banglore;Delhi;Delhi;3;5048
549;1;Kolkata;Banglore;Banglore;2;11096
550;1;Delhi;Cochin;Cochin;4;5073
551;1;Delhi;Cochin;Cochin;5;19828
552;1;Chennai;Kolkata;Kolkata;11;3739
553;1;Delhi;Cochin;Cochin;2;10598
554;1;Banglore;Delhi;Delhi;5;7229
555;1;Kolkata;Banglore;Banglore;11;8610
556;1;Delhi;Cochin;Cochin;11;6216
557;1;Banglore;Delhi;Delhi;2;6961
558;1;Kolkata;Banglore;Banglore;5;10703
559;1;Kolkata;Banglore;Banglore;5;14151
560;1;Kolkata;Banglore;Banglore;5;8586
561;1;Kolkata;Banglore;Banglore;4;4488
